1	7	6	3	8	2	2	1	1	3	3	1	1	8	11	1	1	1	1	4	4	
2	3	3	8	4	7	7	1	1	6	9	8	9	1	1	7	2	1	1	1	1	 
10	2	4	8	1	8	10	1	1	5	6	6	4	1	1	11	10	3	3	4	3	 
12	5	7	7	7	6	10	4	3	4	5	8	6	4	7	3	2	1	1	8	3	 
9	5	8	8	3	2	3	1	1	7	4	1	1	9	11	1	1	9	6	11	6	 
3	8	6	2	4	3	11	1	1	3	5	7	2	3	2	1	1	5	7	5	4	 
6	2	10	10	1	4	3	1	1	6	2	6	2	11	11	4	3	10	8	8	2	 
11	5	7	11	6	10	9	1	1	8	6	11	8	1	1	2	3	4	6	8	7	 
13	3	9	9	3	8	8	1	1	9	8	9	8	8	11	11	3	3	3	5	3	 
7	2	2	7	3	8	11	3	1	7	7	9	4	1	1	1	1	1	1	9	7	 
8	4	9	11	4	9	11	1	1	7	8	11	6	8	8	1	1	5	9	1	1	 
4	8	4	7	3	6	6	1	1	6	4	7	2	1	1	1	1	2	3	4	5	 
5	3	3	9	2	11	10	1	1	7	3	10	3	1	1	8	4	4	3	8	3	 
